,expression,rating,tempo,avg_cent,std_cent,avg_rolloff,std_rolloff,avg_zcross,std_zcross,avg_flt,std_flt,avg_bw,avg_ctr,std_ctr,height,leaves,t-count,operators,2_powers,avg_operand,std_operand,r(>>),r(*),r(&),r(^),r(%),r(|),r(-),r(+),r(/),>>,*,&,^,%,|,-,+,/
0,(t^(t|11))^((t*12)&11),0,0.0,2397.7421870000003,15.09159825,3499.092151,18.75165475,0.623012518,0.018510012,1.82e-05,0.000256162,849.4662583999999,69.71826794,38.167483600000004,3,3,3,5,0,11,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0
1,t*(t/10),5,0.0,1967.835677,139.00218869999998,3359.908049,107.33825320000001,0.498658007,0.056105090999999996,0.40553924399999997,0.063399732,1169.781651,16.96379237,2.8284036560000003,2,1,2,2,0,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,(t|(t&7))*(t/8),5,0.0,1973.7969059999998,123.73912320000001,3380.505397,84.24355538,0.49845603200000005,0.015501033999999999,0.29707396,0.010253121,1174.761842,23.28690758,5.089016486,3,2,3,4,1,7,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
3,((t>>6)-(t^((t>>1)|5)))-((t>>4)&5),10,0.0,1090.47315,82.70860829,2546.3419510000003,161.2220789,0.030035022999999998,0.003914257,0.06471866400000001,0.013866093000000001,1119.5782800000002,17.70060813,5.406529566000001,5,5,4,8,2,4,1,0,0,0,0,0,0,1,0,0,3,0,1,1,0,1,2,0,0
4,(t*((3+(1^((t>>10)&5)))*(5+(3&(t>>14)))))>>((t>>8)&3),80,0.0,1375.247172,125.774728,2883.745336,125.74028349999999,0.127081182,0.045806333,0.09441807099999999,0.018604038,1145.171747,19.48521583,3.035491071,7,9,4,12,2,5,4,1,0,0,0,0,0,0,0,0,4,2,3,1,0,0,0,2,0
5,t>>((t^(t|11))*(((t|8)&(((t>>10)*(t&11))*10))>>11)),45,58.59375,1405.434159,318.54595960000006,2943.8133,549.6120716,0.210597057,0.12571644199999998,0.014997618999999998,0.014760326,1211.3280550000002,37.11367067,25.30837751,7,6,6,11,1,10,1,1,0,0,0,0,0,0,0,0,3,3,2,1,0,2,0,0,0
6,((t>>13)>>(t&(t&(t>>15))))|(t>>(t*(t>>12))),10,14.6484375,142.24677169999998,125.57612420000001,64.6904984,310.284654,0.00012181,0.0008702610000000001,6.94e-05,0.000797828,517.2649803,46.73939589,34.80829216,5,3,7,9,0,13,1,0,0,0,0,0,1,0,0,0,5,1,2,0,0,1,0,0,0
7,(t|9)>>((t&9)*7),10,14.6484375,1643.016174,79.73100754,3641.7494,70.76913878,0.279184435,0.03167853,0.000308355,0.001479702,1512.21199,71.98403473,15.19875503,3,3,2,4,0,8,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
8,t*(((t>>6)&12)|(((t>>12)&25)^(((t>>10)&12)&(t>>17)))),90,15.12096774,1442.582115,280.6056651,2862.548308,287.227102,0.12082202,0.062164397,0.054681562,0.058273014000000005,1092.6229970000002,52.87613338,34.28146195,6,7,5,11,0,13,6,0,1,0,0,0,0,0,0,0,4,1,4,1,0,1,0,0,0
9,(((t|5)*7)>>8)^((t*6)*11),5,17.04545455,2069.834397,107.67945420000001,3613.347881,138.7312923,0.513927988,0.015296907,0.018100368000000002,0.018540127,1157.059127,22.66001084,6.563789661,4,5,2,6,1,7,2,0,0,0,1,0,0,0,0,0,1,3,0,1,0,1,0,0,0
10,(t*5)&(t>>((t^3)%6)),5,19.53125,1663.5081460000001,105.97394080000001,3392.4990009999997,70.17425664,0.25905871,0.052063585,0.076755583,0.013637186,1340.429223,19.33332968,3.491585635,4,3,3,5,0,4,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
11,(t|11)-((t*10)>>11),0,21.30681818,899.6073613,91.80950039,2286.905317,254.6489319,0.01163442,0.00252956,0.008493439,0.007457519,1053.778458,26.15731129,10.02663569,3,3,2,4,0,10,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0
12,((t>>10)*13)*((t^(t^9))+((t+10)>>((t%12)^12))),5,234.375,1987.975562,139.79522830000002,3343.2169510000003,165.2074227,0.493394148,0.072948006,0.119547278,0.046098977,1170.654077,19.58246504,4.582313187,5,6,5,10,0,11,1,0,1,0,0,0,0,0,0,0,2,2,0,3,1,0,0,2,0
13,t|((t>>9)*(((t>>10)*8)*(t^6))),15,28.40909091,1558.971356,220.5831829,3218.933236,334.33856529999997,0.21948918899999997,0.075901176,0.043733499999999995,0.010222759,1280.1079300000001,21.74400778,4.314248555,5,4,4,7,1,8,1,0,0,0,0,0,1,0,0,0,2,3,0,1,0,1,0,0,0
14,(t>>9)*(((t*8)%10)&10),5,29.296875,1642.895691,611.9066315,3038.7626600000003,606.0904172999999,0.470766633,0.32380548800000003,0.000312806,0.001246865,1275.869919,23.71676107,14.9264916,4,4,2,5,1,9,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0
15,t>>((((((t%4)&(((t*5)*4)%4))>>5)^6)&7)*(t&5)),10,29.296875,1687.4994120000001,86.49207301,3549.3236939999997,157.60007969999998,0.310234542,0.058151552999999995,0.0006002690000000001,0.002049532,1435.817085,66.28087286,18.2419318,9,8,4,11,3,5,1,1,0,0,0,0,0,0,0,0,2,3,3,1,2,0,0,0,0
16,(t%9)-((t*8)&(t|(((t+11)^(t^9))*(t>>12)))),10,29.296875,1840.3999820000001,107.021176,3368.070362,134.1232271,0.282041245,0.061512093,0.077739321,0.046165582000000004,1225.95219,28.45474192,17.06918686,6,5,6,10,1,9,1,0,0,0,0,0,0,1,0,0,1,2,1,2,1,1,1,1,0
17,(t*(t>>(t&(t>>8))))&((t|(t*9))>>(t>>(t*12))),15,156.25,1261.978806,202.3299038,2976.004464,241.4892462,0.058728052999999995,0.054117446,0.023785271,0.033135716,1272.351705,17.51510258,6.590980753999999,5,3,8,10,1,9,2,0,0,1,0,0,0,0,0,0,4,3,2,0,0,1,0,0,0
18,t>>(t^(t+((t>>10)&8))),15,29.296875,807.9846565,220.13155530000003,1911.28065,578.6226661000001,0.030283848999999998,0.046545750999999996,0.001182577,0.003014747,1014.608698,66.99254725,27.10276445,5,2,4,5,1,9,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0
19,t-(((t&(t&7))*(t&(t>>10)))*(((t*7)|(t*4))*8)),20,29.296875,1937.8675030000002,122.1047105,3447.461354,149.85085519999998,0.447310393,0.06292689900000001,0.11789868,0.039720107000000004,1226.560305,20.69289482,3.14323945,5,5,7,11,2,7,2,0,0,0,0,0,0,1,0,0,1,5,3,0,0,1,1,0,0
20,t^((t&((t*13)*10))*(((t^11)&10)&(t>>12))),20,29.296875,1077.7731449999999,198.87963090000002,2160.972481,63.51094763,0.068106385,0.057372488,0.002279805,0.005378811,1041.515341,78.35442058,27.16075781,5,5,5,9,0,11,1,0,0,0,1,0,0,0,0,0,1,3,3,2,0,0,0,0,0
21,(((t>>10)*11)>>(t>>15))-((t+12)*((t>>11)|12)),45,58.59375,2052.334237,186.40141100000002,3359.116804,191.3076336,0.50061842,0.264064246,0.02504478,0.017488915,1102.832783,28.15289389,19.31363494,4,6,4,9,0,11,1,0,0,0,0,0,0,1,0,0,4,2,0,0,0,1,1,1,0
22,(t*((4+(2^((t>>12)&2)))*(3+(2&(t>>14)))))>>((t>>11)&2),50,117.1875,1505.902287,206.9584261,3012.5849550000003,171.22439319999998,0.095760386,0.058940553,0.009971541,0.016093204,1147.9763679999999,65.11959306,33.36108264,7,9,4,12,5,5,5,1,0,0,0,0,0,0,0,0,4,2,3,1,0,0,0,2,0
23,(t%10)|((t&8)&((t>>10)*(t&7))),75,29.296875,1763.417396,294.1326395,3177.821828,339.5813372,0.330265525,0.09860842800000001,0.012938146999999999,0.007621585,1181.509206,29.17899137,10.80751967,4,4,4,7,1,8,1,0,0,0,0,0,1,0,0,0,1,1,3,0,1,1,0,0,0
24,(t>>10)^((t*(t|10))*(t>>11)),80,29.296875,1929.0649170000002,201.0916218,3322.153185,311.97311060000004,0.47458334700000004,0.085226442,0.056768689000000004,0.056849483,1149.743025,25.62125871,9.628310809,4,3,4,6,0,10,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,1,0,0,0
25,(t*10)*(t^(t>>13)),25,29.296875,1974.266786,179.8539398,3384.9197090000002,251.67193390000003,0.49074243700000003,0.10958275599999999,0.013737708999999999,0.036142439,1162.678469,77.55783573,27.46637961,3,2,3,4,0,11,2,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
26,(((t|10)*11)*((t^10)>>11))+(t|(t>>(t|12))),30,30.24193548,1997.9776949999998,290.7549072,3594.3580090000005,278.3693946,0.50728778,0.237560107,0.038509909,0.038177822,1333.88525,39.03163547,29.79848368,4,5,5,9,0,10,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,3,0,1,0
27,((t>>(t&9))>>((t>>10)%14))&(t>>(t&((t>>7)-9))),35,117.1875,815.5213052999999,391.5034792,2164.837087,1143.992894,0.021188699,0.027432138999999998,0.0019146570000000002,0.002494319,1134.9774519999999,19.75280545,9.01573491,5,5,6,10,0,9,2,0,0,1,0,0,0,0,0,0,5,0,3,0,1,0,1,0,0
28,t&((t>>10)*(t*9)),40,66.96428571,1571.302705,290.27803769999997,3092.8421510000003,406.9780322,0.24696828399999998,0.14366878800000002,0.023521977000000003,0.008283173000000001,1252.549474,22.93963803,5.650019399,3,2,3,4,0,9,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
29,t-(t&(((t>>9)*9)&(t^(t&10)))),65,33.48214286,624.1009594999999,138.1497886,1571.703425,412.233472,0.003744878,0.003332936,0.001698075,0.00247893,969.8235278999999,22.93749535,6.014972751,5,3,5,7,0,9,0,0,0,0,0,0,0,1,0,0,1,1,3,1,0,0,1,0,0
30,((t*7)>>11)-((((t&4)/9)*8)*(t>>13)),10,44.64285714,773.1483177,454.22630430000004,1765.2835149999999,1128.231529,0.098577634,0.117748041,0.000160912,0.0010597789999999998,883.7761587000001,33.37222857,17.75578076,5,6,3,8,2,8,3,0,0,0,0,0,0,1,0,0,2,3,1,0,0,0,1,0,1
31,(t|(t%7))|(t*(t>>8)),40,44.64285714,1647.507341,251.00098119999998,3181.41158,352.9064186,0.260016533,0.145680111,0.051740874000000006,0.010381848,1258.64304,19.92766634,5.578078442000001,3,2,4,5,1,7,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0,0,0
32,(t*5)^((t%8)*((t|8)>>8)),20,49.34210526,1992.626582,180.6270146,3393.348547,167.8228348,0.503612657,0.24881738399999997,0.05196574,0.025294444,1149.736433,22.92792064,4.2626051789999995,4,4,3,6,3,7,1,0,0,0,1,0,0,0,0,0,1,2,0,1,1,1,0,0,0
33,(t>>7)&((((t%8)*(t>>8))|((t*6)*(t&9)))>>7),25,234.375,1561.5380599999999,427.92513360000004,3520.50573,518.7694688,0.23868936600000001,0.27793193,0.007483572,0.006430509,1487.196598,22.96574387,6.431528675,5,6,5,10,2,7,1,0,0,1,0,0,0,0,0,0,3,3,2,0,1,1,0,0,0
34,(t*((t>>5)|(t>>8)))>>(t>>16),80,117.1875,1769.5161670000002,494.45996449999996,3135.002998,443.91571389999996,0.399701409,0.304120972,0.219782263,0.09304179300000001,1135.356077,14.96012525,3.065910257,4,3,4,6,2,9,5,1,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0
35,(t>>5)&(t^8),0,58.59375,642.5375594,98.5029439,1635.794243,264.41988849999996,0.0036230679999999997,0.003065879,0.00225523,0.0021330620000000002,981.2388870999999,24.20416913,6.897526681,2,2,2,3,1,6,2,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
36,((t>>5)>>8)^(((t&11)*(t&7))&9),0,58.59375,1278.084453,188.4967339,2914.720482,275.6674329,3.12e-06,3.8900000000000004e-05,0.000217052,0.002401437,1326.254461,71.2293787,34.49658715,4,5,3,7,1,8,2,0,0,0,1,0,0,0,0,0,2,1,3,1,0,0,0,0,0
37,(((t&7)^(t>>13))^13)-(((t>>12)/(t|12))*(t>>8)),0,58.59375,496.317041,674.7155207999999,860.0996135,1377.467927,0.068196962,0.11056004900000001,0.000111134,0.000555816,713.3888482000001,53.62187506,34.39796428,4,6,5,10,1,10,2,0,0,0,0,0,0,1,0,0,3,1,1,2,0,1,1,0,1
38,t>>((t&1)*((t&0)+5)),5,58.59375,1979.4750829999998,63.62353064,3959.579891,14.58281117,0.49842584,0.015732346,0.001866944,0.004445203,1696.271923,56.32937595,21.63340189,4,3,3,5,1,2,2,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0
39,(t>>8)*((t^((t^((t*9)>>8))+(t&5)))&((t*(t&8))^(t*8))),5,58.59375,1570.050688,184.1749001,3196.695096,257.812831,0.174504847,0.060247804,0.044175699000000006,0.017877053,1246.136969,21.17180191,5.107663219,7,6,8,13,4,7,1,0,1,0,0,0,0,0,0,0,2,4,3,3,0,0,0,1,0
40,(t&8)*((t^6)+((t&(t>>8))*(t*7))),5,58.59375,1728.381007,71.02758094,3295.992138,80.71686009999999,0.252936975,0.018586427,0.01729917,0.003024132,1237.604163,26.25786318,4.383420573,5,4,5,8,2,7,0,0,1,0,0,0,0,0,0,0,1,3,2,1,0,0,0,1,0
41,(t>>5)&(((t&5)*6)|(t>>3)),5,58.59375,561.8246588999999,82.33526809,1318.605077,276.2002403,0.00036230699999999997,0.00036619,0.0022444120000000003,0.002163763,979.8429014000001,15.72859332,7.085021122000001,4,4,3,6,0,4,1,0,0,1,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0
42,t|(t>>5),10,58.59375,646.7886814,95.91254988,1646.738406,255.76882310000002,0.0036824109999999996,0.003052435,0.002358209,0.002250924,983.4260036000001,24.07654408,7.026788442999999,2,1,2,2,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
43,(((t>>1)>>4)&(t+1))|(t*((t-3)^(t&(t&3)))),10,58.59375,1793.578247,102.4098287,3333.846948,74.66577636,0.382870802,0.097093494,0.044094935,0.035169221,1237.766332,24.95284984,4.09243548,5,5,6,10,3,2,1,0,0,0,0,0,1,0,0,0,2,1,3,1,0,1,1,1,0
44,t*((t&9)&(t+(t>>9))),10,58.59375,1804.8244140000002,28.42270864,3708.338886,121.46548670000001,0.28030363,0.007543261999999999,0.028301722999999997,0.010443841,1456.937808,23.61599459,3.4946628910000004,4,2,4,5,0,9,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0
45,t&((t*(((t>>(t*7))^7)&(t&6)))>>6),10,58.59375,1145.240249,87.271132,2234.683169,104.6454619,0.12382354400000001,0.050086518,0.0073778690000000004,0.002112528,1033.840072,24.17655853,6.1516942189999995,7,4,5,8,0,6,0,0,0,1,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0
46,(((t%8)^6)*(t>>5))&(t*10),10,58.59375,1739.726718,139.9463028,3302.846815,173.859904,0.264465202,0.073153841,0.034257967,0.005026086,1266.143855,23.02176082,3.8732316539999996,4,4,3,6,1,7,2,0,0,1,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0
47,t&(((t>>5)^(t^5))|(((t&(t|2))>>(t|5))>>5)),10,58.59375,641.5000516,109.6521909,1623.792311,314.2056917,0.0036824109999999996,0.003052435,0.0026908220000000003,0.002906658,979.202972,23.79233791,6.660438527,6,5,6,10,1,4,1,0,0,1,0,0,0,0,0,0,3,0,2,2,0,3,0,0,0
48,(t|4)&(t>>((t*(t>>(t&(t>>3))))*5)),10,117.1875,846.1766484,57.47937322,2100.66298,100.50517430000001,0.011405375,0.006299939,0.009279335,0.013918118,1056.976575,54.53400921,32.69620295,7,3,6,8,1,4,1,0,0,1,0,0,0,0,0,0,3,2,2,0,0,1,0,0,0
49,(t*((t>>6)-7))>>((t&7)>>8),10,58.59375,1988.499487,371.3546088,3267.782183,346.7646157,0.500324827,0.27853268800000003,0.258097857,0.051479522,1100.24474,15.00910892,3.224496274,4,4,3,6,1,7,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0
50,((t>>5)&(t^7))>>(((t&6)|6)&8),10,58.59375,643.3740008,98.53813571,1636.6521189999999,264.9887843,0.0036230679999999997,0.003065879,0.0022726820000000003,0.0021299360000000002,981.651309,24.069187300000003,6.715938832000001,4,5,3,7,1,6,1,1,0,0,0,0,0,0,0,0,2,0,3,1,0,1,0,0,0
51,((t*1)>>5)>>((((t^4)|((t&8)|7))+6)*((t|5)&(t&(t&4)))),10,58.59375,888.7044818,344.8168231,2145.997135,963.1988748,0.12342584,0.103702183,0.000439667,0.001164071,977.189953,50.63981631,22.13078448,6,8,6,13,4,5,2,1,0,0,0,0,0,0,0,0,2,2,4,1,0,3,0,1,0
52,(t|3)&(t>>5),10,58.59375,638.7940125,100.27231479999999,1611.157383,269.40250489999994,0.0036230679999999997,0.003065879,0.002241122,0.002122803,975.8599839999999,24.04665794,6.786634382000001,2,2,2,3,0,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
53,t&((t>>5)|7),10,58.59375,649.2096402000001,100.4937175,1653.418177,267.7079675,0.0036230679999999997,0.003065879,0.00237361,0.002240581,986.2290244,23.93849449,6.659933007,3,2,2,3,0,6,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
54,((t^5)|(t>>(t>>7)))|((t>>5)|7),10,58.59375,634.8102121000001,102.0735849,1601.870669,285.4166703,0.0036824109999999996,0.003052435,0.00227,0.002166025,974.0958784,23.89887367,6.946593312,4,4,4,7,0,6,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,3,0,0,0
55,t&(t-(t&(t>>5))),10,58.59375,645.8364619,110.32590900000001,1634.028518,311.95421789999995,0.003923949,0.0030217990000000004,0.002826429,0.00306361,981.1366004,23.78660067,6.767028065,4,1,4,4,0,5,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0
56,t&((t|((t>>6)|0))&(t>>5)),10,58.59375,643.4798545,98.22765293,1637.185168,264.54933289999997,0.0036230679999999997,0.003065879,0.0022793089999999998,0.002141698,981.6999976,24.02710385,6.805729544,5,3,4,6,0,3,3,0,0,1,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0
57,(t>>5)&(t^7),10,58.59375,643.3740008,98.53813571,1636.6521189999999,264.9887843,0.0036230679999999997,0.003065879,0.0022726820000000003,0.0021299360000000002,981.651309,24.069187300000003,6.715938832000001,2,2,2,3,0,6,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
58,t>>((t*4)&(t&((t|4)>>4))),10,117.1875,1009.2661,317.70375099999995,2532.865805,716.9094424,0.05526844,0.031125176,0.019991776,0.016763099999999996,1147.479114,18.46707325,8.543251597000001,5,3,4,6,3,4,0,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0
59,((t*7)|(t>>5))+(((t&2)&2)>>(t&1)),15,58.59375,1762.207686,62.281908200000004,3282.640925,87.8136481,0.154053255,0.029411582999999998,0.119568594,0.028932549,1206.69814,20.20990716,4.134266032,4,5,4,8,3,3,2,0,0,0,0,0,0,0,1,0,2,1,3,0,0,1,0,1,0
60,(((t%5)&6)+(((t&6)&10)^(((t*7)>>6)*8)))*(t>>8),15,62.5,1768.429668,225.9104125,3328.441498,234.24329159999996,0.359803938,0.136328699,0.34660825100000003,0.105977252,1227.510505,14.77695633,2.7785541289999998,6,8,4,11,2,7,1,0,1,0,0,0,0,0,0,0,2,3,3,1,1,0,0,1,0
61,t&((t>>5)^3),15,58.59375,645.1682073,98.47824531,1641.141391,265.747321,0.0036230679999999997,0.003065879,0.0023354960000000003,0.0021825539999999997,982.4602184,23.95174749,6.784833731,3,2,2,3,0,4,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
62,(t*((t*8)>>9))|(t|((t|(t*(t&9)))&9)),15,62.5,1699.141099,297.54830110000006,3163.038046,355.47258230000006,0.254546534,0.140794206,0.09329097,0.020615993,1229.030414,17.52594393,5.96629402,6,4,6,9,1,8,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,3,0,0,0
63,t|(t*(t>>6)),15,62.5,1699.141099,297.54830110000006,3163.038046,355.47258230000006,0.254546534,0.140794206,0.09329097,0.020615993,1229.030414,17.52594393,5.96629402,3,1,3,3,0,6,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
64,(t&7)+((t&(t>>5))^(t&9)),15,58.59375,672.9656185,100.8475854,1721.00713,260.8955934,0.004106143,0.003014305,0.00387503,0.004812004,999.2263985999999,22.77094691,6.542795342000001,4,3,4,6,0,7,2,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,0,1,0
65,(((((t*(t&9))^6)|6)^7)>>(t&9))>>((t&5)*6),15,58.59375,1334.241208,348.1608687,3263.717684,611.941014,0.24307036199999998,0.159807178,0.000416164,0.001098975,1409.4429400000001,46.47497805,18.95290421,7,7,4,10,0,6,1,1,0,0,0,0,0,0,0,0,2,2,3,2,0,1,0,0,0
66,t^((t>>(t&5))|(((t^5)&5)+(t&(t>>4)))),15,58.59375,1774.377134,171.3254924,3488.272921,218.03201639999997,0.373543485,0.13895949900000001,0.021568116000000002,0.003609498,1418.866851,22.58867004,6.0153822329999995,5,4,6,9,1,4,0,0,0,0,1,0,0,0,0,0,2,0,3,2,0,1,0,1,0
67,t|(t|(t>>5)),15,58.59375,646.7886814,95.91254988,1646.738406,255.76882310000002,0.0036824109999999996,0.003052435,0.002358209,0.002250924,983.4260036000001,24.07654408,7.026788442999999,3,1,3,3,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0
68,(t*0)^(t&(t>>5)),15,58.59375,643.4798545,98.22765293,1637.185168,264.54933289999997,0.0036230679999999997,0.003065879,0.0022793089999999998,0.002141698,981.6999976,24.02710385,6.805729544,3,2,3,4,0,2,3,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
69,t>>(((t-(t^3))-((t-(t^(t>>3)))*2))&5),15,58.59375,1290.7485,61.91980662,2254.122801,5.235687057,0.21834813100000003,0.006910355,0.002476597,0.004368039000000001,991.2617939999999,56.25332084,16.53383269,7,4,6,9,1,3,1,1,0,0,0,0,0,0,0,0,2,1,1,2,0,0,3,0,0
70,(t^8)&((t^(t>>5))>>((t+7)&9)),15,58.59375,1547.512005,121.03851110000001,3583.2972409999998,105.1483317,0.26116592,0.10896335300000001,0.012018776,0.005277003000000001,1493.644835,24.002473300000002,5.178382814,4,4,4,7,1,7,1,0,0,1,0,0,0,0,0,0,2,0,2,2,0,0,0,1,0
71,t|(((t&(t&(t>>6)))*((t|9)&(t>>5)))|((t|(t^8))%5)),15,58.59375,1317.912895,136.28802050000002,2845.1575829999997,252.252068,0.114354636,0.040333292,0.10134707400000001,0.026787208,1200.624681,17.23840261,3.172067701,6,5,8,12,1,6,1,0,0,0,0,0,1,0,0,0,2,1,3,1,1,4,0,0,0
72,t|((t+10)>>(t*(t&(t>>6)))),15,58.59375,901.0238385,102.78218940000001,2267.4073829999998,296.70664039999997,0.008940024,0.002770054,0.005578283000000001,0.006659091,1101.862553,32.03155302,20.22874298,5,2,5,6,0,8,2,0,0,0,0,0,1,0,0,0,2,1,1,0,0,1,0,1,0
73,t>>(((t>>5)>>(t%2))&5),15,58.59375,1665.264932,101.0306419,3891.083089,27.96117835,0.311059102,0.052932834000000005,0.014679445,0.010128335,1637.038717,22.52297314,5.547678337000001,4,3,3,5,1,4,1,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0
74,((t+1)>>5)&(t*7),15,58.59375,1146.233929,187.2592158,2709.804771,224.68738599999998,0.027293777,0.022484452999999998,0.005990791,0.0059154130000000004,1182.545003,25.32628191,7.113063426,3,3,2,4,1,4,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
75,(t*7)&((t|5)&(t*((t>>6)-(((t%5)-8)>>(t*8))))),20,29.296875,1594.7649609999999,258.8069182,3121.8933239999997,331.5314024,0.152698769,0.076971533,0.045743659000000006,0.008909499,1253.106661,19.60870802,5.83504397,7,6,6,11,2,6,1,0,0,1,0,0,0,0,0,0,2,3,2,0,1,1,2,0,0
76,t*((t^(((t^7)>>(((t+7)>>6)&4))&9))>>6),20,58.59375,1990.8220210000002,366.2186915,3270.80557,340.0593753,0.501835479,0.281524139,0.260959774,0.051176853,1100.555122,14.78842653,3.397576147,8,6,4,9,1,6,1,0,1,0,0,0,0,0,0,0,3,1,2,2,0,0,0,1,0
77,(t>>5)&(t>>((t&(t>>6))&7)),20,58.59375,1376.003959,246.11604309999998,3117.962087,399.1278145,0.150836221,0.13100727199999998,0.019974889,0.016288396,1325.092479,20.10086384,5.028392804,5,3,4,6,0,6,1,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
78,((t>>9)&(t^(t>>6)))&((t%10)&(t*9)),20,58.59375,1375.912889,240.85032809999998,2928.837953,359.0982211,0.062999733,0.04258163400000001,0.010516821,0.007602372,1255.467406,22.84874329,5.534046852,4,4,5,8,0,8,1,0,0,1,0,0,0,0,0,0,2,1,3,1,1,0,0,0,0
79,t|(((t>>4)>>((t&((t&6)+(t*4)))|(t&6)))>>6),20,117.1875,871.5276822000001,93.32284528,2118.695029,104.2584579,0.01105348,0.009577782,0.005042179,0.010100656,1052.2416050000002,60.59748801,29.69305093,7,5,6,10,2,5,1,0,0,0,0,0,1,0,0,0,3,1,3,0,0,2,0,1,0
80,(((t>>6)^8)*((t>>((t^2)>>2))-(t&2)))^(((t&7)>>5)^(t*5)),20,58.59375,1632.797525,128.1038632,2870.094283,92.89819648,0.26648287600000004,0.182620008,0.049729722999999997,0.027786377999999997,1078.0030769999998,21.81800484,5.404228129,6,8,6,13,4,4,2,0,0,0,1,0,0,0,0,0,4,2,2,4,0,0,1,0,0
81,((t>>7)*12)&(t*(t*8)),20,58.59375,1649.237404,200.6532801,3494.8610740000004,68.37604179,0.24880064,0.071297613,0.004662961,0.0017531279999999998,1410.1084759999999,23.388068399999998,9.773215897,3,3,3,5,1,9,2,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0
82,(t>>5)&((t-((t|6)%5))&((t*5)-5)),20,58.59375,935.4429186000001,107.0700287,2452.458689,215.12064759999998,0.012470432,0.010363615999999999,0.007854474,0.005519975999999999,1157.364485,20.89044181,5.56254573,5,5,4,8,0,5,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,1,2,0,0
83,t*(((((t>>11)*(t^(t*8)))|(((t&12)>>12)>>9))*7)|((t*8)&10)),20,58.59375,1989.547941,101.3207257,3429.754131,177.7664625,0.496205149,0.053988635,0.036800257999999995,0.036852345,1189.821659,39.14673143,30.03885007,7,8,6,13,2,9,1,0,1,0,0,0,0,0,0,0,3,5,2,1,0,2,0,0,0
84,(t>>6)&((t&6)*(((t^7)-12)>>7)),20,58.59375,1080.523003,302.7026331,2177.655251,367.1353547,0.16466218,0.167477493,0.001033604,0.001619456,982.8018504,21.96997852,11.49400456,5,5,3,7,0,7,2,0,0,1,0,0,0,0,0,0,2,1,2,1,0,0,1,0,0
85,t^((t^(t%4))&(t>>5)),20,58.59375,647.5979342,110.5242717,1642.332423,318.92269369999997,0.003923949,0.0030217990000000004,0.0028068859999999998,0.003055625,984.1728198999999,23.85029949,6.753294669,4,2,4,5,1,4,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0
